დაბადება,თავი პირველი,0,1,თავდაპირველაღ ღმერთმა შექმნა ცა და მიწა.,1,დასაბამად ქმნნა ღმერთმან ცაჲ და ქუეყანაჲ.
დაბადება,თავი ოცდამეექვსე,14,15,"ჭები, რომლებიც მამამისის მორჩილებს ჰქონდათ ამოღებული 
		აბრაამის, მამამისის დროს, ფილისტიმელებმა ჩახერგეს და მიწით ამოავსეს.",15,"და ყოველივე ჯურღმულები, რომელი თხარეს მონათა მამისა 
		მისისათა, დაყვეს იგი ფილისტიმელთა და აღავსეს მიწითა."
დაბადება,თავი ოცდამეექვსე,15,16,"უთხრა აბიმელექმა ისაკს: გაგვეცალე, რადგან ჩვენზე უფრო 
		ძლიერი შეიქენი.",16,"ჰრქუა აბიმელექ ისაკს: განვედ ჩუენგან, რამეთუ უძლიერეს 
		ჩუენსა იქმენ ფრიად."
დაბადება,თავი ოცდამეექვსე,16,17,"წავიდა იქიდან ისაკი და დადგა გერარის ხეობაში, და იქ 
		დასახლდა.",17,"და წარვიდა ისაკ და დაივანა ჴევსა მას გერარისასა და 
		დაეშენა მუნ."
დაბადება,თავი ოცდამეექვსე,17,18,"ისევ ამოიღო ისაკმა აბრაამის, მამამისის დროს ამოღებული 
		ჭები, ფილისტიმელებმა რომ ამოავსეს აბრაამის სიკვდილის შემდეგ და კვლავ 
		უწოდა ის სახელები, მამამისმა რომ შეარქვა.",18,"და მერმე მო-ვე-თხარა ისაკ ჯურღმულები იგი წყალისა, რომელ 
		თხარეს მონათა აბრაჰამ მამისა მისისათა და დაყუეს იგი ფილისტიმელთა მათ 
		შემდგომად სიკუდილისა მამისა მისისა აბრაჰამისა და დასდვა მათ სახელები, 
		რაჲცა-იგი დაედვა აბრაჰამს, მამასა მისსა."
დაბადება,თავი ოცდამეექვსე,18,19,"თხრიდნენ ისაკის მორჩილნი გერარის ხეობაში და წააწყდნენ 
		იქ გამდინარე ჭას.",19,"და თხარეს მონათა ისაკისთა ჯურღმული ჴევსა მას გერარისასა 
		და პოვეს მუნ ჯურღმული წლისა ცხოველისაჲ."
დაბადება,თავი ოცდამეექვსე,19,20,"ედავებოდნენ გერარელი მწყემსები ისაკის მწყემსებს, 
		ჩვენიაო წყალი. უწოდა სახელად იმ ჭას: ყესეკი; რადგან დაობდნენ მასთან.",20,"და ჰლალვიდეს მწყემსნი იგი გერარელთანი მწყემსთა მათ 
		ისაკისთა და იტყოდეს, ვითარმედ: მათი არს წყალი იგი. და უწოდა სახელი 
		ჯურღმულსა მას ""ვნებაჲ"", რამეთუ ავნეს მას."
დაბადება,თავი ოცდამეექვსე,20,21,"ამოიღეს მეორე ჭა და მასზედაც შეედავნენ; უწოდა მას 
		სახელად სიტნა.",21,"წარმოვიდა მიერ ისაკ და თხარა ჯურღმული სხუაჲ. და ესჯოდეს 
		მას იგინი მისთჳსცა და დასდვა მას სახელი ""მტერობაჲ""."
დაბადება,თავი ოცდამეექვსე,21,22,"გადაინაცვლა იმ ადგილიდან და კიდევ ამოიღო სხვა ჭა; მასზე 
		აღარ შედავებიან და უწოდა სახელად რეხობოთი (სიფართოვე). თქვა: რაკი 
		ამიერიდან გაგვაფართოვა უფალმა, ვიმრავლებთ ამქვეყნად.",22,"და წარვიდა იგი მიერ-ცა და თხარა ჯურღმული სხუაჲ და არა 
		ჰლალვიდეს მისთჳს და დასდვა მას სახელი ""ფართოებაჲ"" და თქუა: რამეთუ 
		განგჳფართა ჩუენ უფალმან აწ და აღგუაორძინა ჩუენ ქვეყანასა ზედა."
დაბადება,თავი ოცდამეექვსე,22,23,დაიძრა იქიდან ბერშებასაკენ.,23,აღმოვიდა მიერ ჯურღმულსა მას ზედა ფიცისასა.
დაბადება,თავი ოცდამეექვსე,23,24,"გამოეცხადა იმ ღამით უფალი და უთხრა: მე ვარ აბრაამის, 
		მამაშენის ღმერთი; ნუ გეშინია, რადგან შენთან ვარ. გაკურთხებ, გაგიმრავლებ 
		შთამომავლობას აბრაამის, ჩემი მორჩილის გულისათვის.",24,"და ეჩუენა მას უფალი ღამესა მას და ჰრქუა: მე ვარ ღმერთი 
		მამისა შენისა აბრაჰამისი. ნუ გეშინინ, რამეთუ მე შენ თანა ვარ. და 
		გაკურთხო შენ და განვამრავლო ნათესავი შენი აბრაჰამისთჳს, მამისა შენისა."
დაბადება,თავი ოცდამეექვსე,24,25,"აღმართა იქ სამსხვერპლო და ახსენა უფლის სახელი. დასცა იმ 
		ადგილას კარავი და იქაც ამოიღეს ჭა ისაკის მორჩილებმა.",25,"და აღაშენა მუნ საკურთხეველი და ხადა სახელი უფლისა და 
		აღმართა მუნ კარავი თჳსი. თხარეს მონათა ისაკისთა ჯურღმული ჴევსა მას 
		გერარონისასა."
დაბადება,თავი ოცდამეექვსე,25,26,"მოვიდნენ მასთან გერარიდან აბიმელექი, მისი მოყვარე 
		ახუზათი და ფიქოლი, მისი მხედართმთავარი.",26,"და აბიმელექ მოვიდა გერარონით და ოქოზათ, ეზოჲსმოძღუარი 
		მისი, და ფიქოლ, ერისთავი ძლიერებისა მისისაჲ."
დაბადება,თავი ოცდამეექვსე,26,27,"უთხრა მათ ისაკმა: რისთვის მოხვედით ჩემთან? აკი 
		შემიძულეთ და მომიშორეთ?",27,"და ჰრქუა მათ ისაკ: რაჲსათჳს მოხუედით ჩემდა, რამეთუ 
		თქუენ მომიძულეთ მე? და გამომავლინეთ თქუენგან."
დაბადება,თავი ოცდამეექვსე,27,28,"უთხრეს: კარგად ვხედავთ, რომ უფალი შენთანაა. ვთქვით: 
		დაიდოს ფიცი ჩვენს შორის, ჩვენსა და შენს შორის, და შევკრათ კავშირი 
		ერთმანეთთან,",28,"ხოლო მათ ჰრქუეს: ხილვით ვიხილეთ, უფალი, რამეთუ შენ თანა 
		არს, და ვთქუთ: იყავნ ფიცი შორის შენსა და ჩუენსა და აღვთქუათ შენ თანა 
		აღთქუმაჲ."
დაბადება,თავი ოცდამეექვსე,28,29,"რომ არ გვიბოროტო. ჩვენ ხომ ხელი არ გვიხლია შენთვის, 
		სიკეთის მეტი არაფერი გაგვიკეთებია, მშვიდობითაც გაგისტუმრეთ. ამიერიდან 
		უფლის კურთხეული ხარ.",29,"რათა არა ჰყო ბოროტი ჩუენდა მომართ, ვითარცა-იგი ჩუენ არა 
		მოგიძაგეთ შენ, ვითარცა-იგი გიყავთ ჩუენ კეთილად და წარმოგავლინეთ 
		მშჳდობით. და აწ შენ კურთხეულ ხარ უფლისა მიერ."
დაბადება,თავი ოცდამეექვსე,29,30,გაუმართა მათ ლხინი ისაკმა; ჭამეს და სვეს.,30,და უმზადა ისაკ სერი. ჭამეს და სუეს.
დაბადება,თავი ოცდამეექვსე,30,31,"ადგნენ დილაადრიანად და შეჰფიცეს ერთმანეთს. გაისტუმრა 
		ისაკმა ისინი და მშვიდობით წავიდნენ მისგან.",31,"და აღდგეს განთიად და ეფუცა კაცი მოყუასსა თჳსსა. და 
		წარგზავნა იგინი ისაკ და წარვიდეს მისგან ცოცხლებით."
დაბადება,თავი ოცდამეექვსე,31,32,"იმავე დღეს მოვიდნენ ისაკის მორჩილნი და შეატყობინებს ჭის 
		ამბავი, რომელსაც თხრიდნენ. უთხრეს წყალი ვიპოვეთო.",32,"და მათ დღეთა ოდენ მოვიდეს მონანი ისაკისნი და უთხრეს 
		ჯურღმულისა მისთჳს, რომელ თხარეს, და ჰრქუეს: არა ვპოვეთ წყალი."
დაბადება,თავი ოცდამეექვსე,32,33,"უწოდა მას სახელად შიბყა. ამიტომაც ეწოდება ქალაქს 
		სახელად ბერშება დღევანდლამდე.",33,"და ფიცისა მისთჳს უწოდა ქალაქსა მას ""ჯურღმული ფიცისა"", 
		ვიდრე დღეინდელად დღემდე."
დაბადება,თავი ოცდამეექვსე,33,34,"ორმოცი წლისა იყო ესავი, როცა მოიყვანა ცოლად ივდითი, 
		ბეერ ხეთელის ასული, და ბასმათი, ელონ ხეთელის ასული.",34,"იყო ესავ ორმეოცის წლის და მოიყუანა ცოლი იუდინა, ასული 
		ბეჰრისი ქეტელისა, და ბასემათ, ასული ელონისი ეველისაჲ."
დაბადება,თავი ოცდამეექვსე,34,35,ამ ქალებმა სული შეუწუხეს ისაკს და რებეკას.,35,და იყვნეს მჴდომ ისაკისა და რებეკასა.
დაბადება,თავი ოცდამეშვიდე,0,1,"როცა დაბერდა ისაკი და თვალს დააკლდა, 
		დაუძახა ესავს, თავის უფროს შვილს, და უთხრა: შვილო! მიუგო: აქა ვარ!",1,"და შემდგომად სიბერისა მის ისაკისა 
		დაუბრყჳლდეს თუალნი მისნი ხედვად. და მოუწოდა ძესა თჳსსა უხუცესსა და ჰრქუა 
		მას: ძეო ჩემო. და მან თქუა: აჰა, მე."
დაბადება,თავი ოცდამეშვიდე,1,2,"უთხრა ისაკმა: აჰა, დავბერდი და არ ვიცი, როდის 
		მოვკვდები.",2,"ჰრქუა მას: აჰა ესერა, მე დავბერდი და არა ვიცი დღე 
		აღსრულებისა ჩემისა."
დაბადება,თავი ოცდამეშვიდე,2,3,"აიღე შენი იარაღი, მშვილდ-ისარი, გადი ველად და 
		ნანადირევი მომიტანე.",3,"აწ აღიღე ჭურჭელი შენი, მშჳლდ-კაპარჭი და განვედ ველად და 
		მინადირე მე ნადირი."
დაბადება,თავი ოცდამეშვიდე,3,4,"მომიმზადე შეჭამადი, მე რომ მიყვარს, მომიტანე და მაჭამე, 
		რომ გაკურთხოს სულმა ჩემმა, სანამ მოვკვდებოდე.",4,"და მიქმენ მე სანოვაგენი, ვითარ-იგი მე მიყუარს. და 
		მომართუ მე და ვჭამო, რათა გაკურთხოს სულმან ჩემმან ვიდრე სიკუდილადმდე 
		ჩემდა."
დაბადება,თავი ოცდამეშვიდე,4,5,"ესმოდა რებეკას, ისაკი რომ ელაპარაკებოდა თავის შვილს, 
		ესავს. გავიდა ესავი ველად სანადიროდ ნანადირევის მოსატანად.",5,"ხოლო რებეკას ესმოდა, ეტყოდა რაჲ ისაკ ესავს, ძესა თჳსსა 
		და ვითარცა განვიდა ესავ ველად და ნადირობად ნადირისა მამისათჳს თჳსისა."
დაბადება,თავი ოცდამეშვიდე,5,6,"უთხოა რებეკამ იაკობს, თავის უმცროს შვილს: გავიგონე, 
		მამაშენი რომ ელაპარაკებოდა შენს ძმას, ესავს და ეუბნებოდა:",6,"მოუწოდა რებეკა იაკობს, ძესა თჳსსა უმრწემესსა, და ჰრქუა: 
		ესერა, მესმა, ვითარ-იგი ეტყოდა მამაჲ შენი ესავს, ძმასა შენსა, და ჰრქუა:"
დაბადება,თავი ოცდამეშვიდე,6,7,"მომიტანე ნანადირევი და კერძი მომიმზადე, შევჭამ და 
		გაკურთხებ უფლის ნებით, ვიდრე ცოცხალი ვარო.",7,"მინადირე მე ნადირი და მიქმენ მე ჭამადი. და ვჭამო და 
		გაკურთხო შენ წინაშე უფლისა ვიდრე სიკუდილადმდე ჩემდა."
დაბადება,თავი ოცდამეშვიდე,7,8,"ახლა, გამიგონე, შვილო, რასაც გეტყვი:",8,"აწ უკუე, შვილო, ისმინე ჩემი, ვითარცა მე გამცნებ შენ"
დაბადება,თავი ოცდამეშვიდე,8,9,"წადი ფარაში და ორი კარგი თიკანი მომიყვანე; რომ 
		მოვუმზადო მამაშენს მისი საყვარელი კერძი.",9,"და წარვედ არვედ და მომართუენ მიერ ორნი თიკანნი ჩჩჳლნი 
		და კეთილნი."
დაბადება,თავი ოცდამეშვიდე,9,10,"წაუღე მამაშენს, რომ შეჭამოს და გაკურთხოს სიკვდილის წინ.",10,"და უქმნე იგი სანოვაგედ მამასა შენსა, ვითარ-იგი უყუარს 
		მას. და შეართვი იგი მამასა შენსა, ჭამოს და გაკურთხოს შენ მამამან შენმან 
		ვიდრე სიკუდილადმდე მისსა."
დაბადება,თავი ოცდამეშვიდე,10,11,"უთხრა იაკობმა რებეკას, თავის დედას: ჩემი ძმა ესავი რომ 
		ბანჯგვლიანი კაცია და მე უბანლო ვარ?",11,"ჰრქუა იაკობ რებეკას, დედასა თჳსსა: არს ესავ, ძმაჲ ჩემი, 
		კაცი ფაჩუნიერი და მე კაცი წყლტუ."
დაბადება,თავი ოცდამეშვიდე,11,12,"ხელი რომ მომისვას მამაჩემმა, ხომ მატყუარა გამოვჩნდები 
		მის თვალში; კურთხევას კი არა, წყევლას დავითევ თავზე.",12,"ნუუკუე ჴელი შემახოს მე მამამან ჩემმან და ვიყო წინაშე 
		მისსა ვითარცა შეურაცხის-მყოფელი და მოვიღო თავისა ჩემისა წყევაჲ და არა 
		კურთხევაჲ."
დაბადება,თავი ოცდამეშვიდე,12,13,"უთხრა დედამისმა: ჩემზე იყოს ის წყევლა, შვილო, ოღონდ 
		დამიჯერე და მომიყვანე.",13,"ჰრქუა მას დედამან მისმან: ჩემ ზედა იყავნ, შვილო, წყევაჲ 
		იგი. გარნა შენ ისმინე ჴმისა ჩემისა და წარვედ და მომართუ მე, რაჲ-იგი 
		გარქუ შენ."
დაბადება,თავი ოცდამეშვიდე,13,14,"წავიდა იაკობი და მოუყვანა დედამისს. მოამზადა დედამისმა 
		შეჭამადი, მამამისს რომ უყვარდა.",14,"ხოლო იგი წარვიდა და მოიყუანნა და მოართუა დედასა თჳსსა. 
		და უქმნა დედამან მისმან სანოვაგენი, ვითარცა უყვარდა მამასა მისსა."
დაბადება,თავი ოცდამეშვიდე,14,15,"აიღო რებეკამ თავისი უფროსი შვილის, ესავის, ძვირფასი 
		ტანისამოსი, სახლში რომ ჰქონდა, და ჩააცვა იაკობს, თავის უმცროს შვილს.",15,"და მოიღო რებეკა სამოსელი ესავისი, ძისა თჳსისა, კეთილი, 
		რომელი ედვა მის თანა სახლსა შინა, და შეჰმოსა იგი იაკობს, ძესა თჳსსა 
		უმრწემესსა."
დაბადება,თავი ოცდამეშვიდე,15,16,ხელები და უბანლო კისერი კი თიკნის ტყავით დაუფარა.,16,"და ტყავნი იგი თიკანთანი მოხჳნა მკლავთა მისთა და 
		შიშუელსა ქედსა მისსა."
დაბადება,თავი ოცდამეშვიდე,16,17,მისცა ხელში იაკობს თავისი მომზადებული კერძი და პური.,17,"და მისცა საჭმელი იგი, რომელ ქმნა და პური ჴელთა 
		იაკობისთა, ძისა თჳსისათა."
დაბადება,თავი ოცდამეშვიდე,17,18,"მივიდა მამასთან და უთხრა: მამაჩემო! მიუგო: რა იყო? 
		რომელი ხარ, შვილო?",18,"და შეართუა იგი მამასა თჳსსა და ჰრქუა: მამაო და მან 
		ჰრქუა: აჰა, მე, ვინ ხარ შენ, შჳლო?"
დაბადება,თავი ოცდამეშვიდე,18,19,"უთხრა იაკობმა მამამისს: ესავი ვარ, შენი პირმშო. 
		გაგიკეთე, რაც მთხოვე. წამოჯექი და ჭამე ნანადირევი, რომ მაკურთხოს შენმა 
		სულმა.",19,"და ჰრქუა იაკობ მამასა თჳსსა: მე ვარ ესავ, პირმშოჲ შჳლი 
		შენი. ვყავ, ვითარ-იგი მეტყოდე მე. აღდეგ და დაჯედ და ჭამე ნადირებულისა 
		ჩემისა, რათა მაკურთხოს მე სულმან შენმან."
დაბადება,თავი ოცდამეშვიდე,19,20,"უთხრა ისაკმა თავის შვილს: რა მალე გიპოვნია, შვილო. 
		უთხრა: უფალი, შენი ღმერთი შემეწია.",20,"ჰრქუა ისაკ ძესა თჳსსა: რაჲ არს, შჳლო, რამეთუ ადრე 
		ჰპოვე, შჳლო? და მან ჰრქუა: რამეთუ მომცა მე უფალმან ღმერთმან შენმან 
		წინაშე ჩემსა."
დაბადება,თავი ოცდამეშვიდე,20,21,"უთხრა ისაკმა იაკობს: მომიახლოვდი, ხელი მოგისვა, შვილო; 
		მართლა ჩემი შვილი ესავი ხარ თუ არა.",21,"ჰრქუა ისაკ იაკობს: მომეახლე მე და ჴელი შეგახო. უკეთუ 
		შენ ხარ შჳლი ჩემი ესავ, ანუ არა."
დაბადება,თავი ოცდამეშვიდე,21,22,"მიუახლოვდა იაკობი მამამისს, ისაკს. მან ხელი შეავლო და 
		თქვა: ხმა იაკობის ხმაა, ხელები კი ესავის ხელებია!",22,"და მიეახლა იაკობ ისაკს, მამასა თჳსსა და მან ჴელი შეახო 
		და თქუა: ჴმაჲ ესე - ჴმაჲ იაკობისი, ხოლო ჴელნი - ესავისნი."
დაბადება,თავი ოცდამეშვიდე,22,23,"ვერ იცნო, რადგან ხელები თავისი ძმის, ესავის ხელებივით 
		ბანჯგვლიანი ჰქონდა, და აკურთხა იგი,",23,"და ვერ იცნა იგი, რამეთუ იყვნეს ჴელნი მისნი ვითარცა 
		ჴელნი ესავის, ძმისა მისისანი, ფაჩუნიერ და აკურთხა იგი."
დაბადება,თავი ოცდამეშვიდე,23,24,"უთხრა: ესავი ხარ, ჩემი შვილი? მიუგო: მე ვარ.",24,და თქუა: შენ ხარ ძე ჩემი ესავ? და თქუა: მე ვარ.
დაბადება,თავი ოცდამეშვიდე,24,25,"მომაწოდე, შევჭამო ეგ ნანადირევი, შვილო, რომ გაკურთხოს 
		ჩემმა სულმა. მიაწოდა, შეჭამა; ღვინო მიუტანა, შესვა.",25,"და ჰრქუა ისაკ: მომართუ მე ნადირებულისა შენისა და ვჭამო, 
		და გაკურთხოს შენ სულმან ჩემმან. და მოართუა მას და ჭამა და ღჳნოჲ სუა."
დაბადება,თავი ოცდამეშვიდე,25,26,"უთხრა ისაკმა, მამამისმა: მომიახლოვდი და მაკოცე, შვილო.",26,"და ჰრქუა მას ისაკ, მამამან მისმან: მომეახლე მე და 
		ამბორს-გიყო შენ, შჳლო."
დაბადება,თავი ოცდამეშვიდე,26,27,"მიუახლოვდა და აკოცა. იყნოსა მისი სამოსელის სუნი და 
		აკურთხა შვილი: აჰა, სუნი ჩემი შვილისა ვითარცა სუნი უფლის კურთხეული 
		მინდვრისა!",27,"და მიეახლა და ამბორს-უყო მას. და ეცა სულნელებაჲ 
		სამოსლისა მისისაჲ აკურთხა იგი და თქუა: აჰა ესერა, სულნელებაჲ ძისა 
		ჩემისაჲ, ვითარცა სულნელებაჲ ველისა სავსისა, რომელი აკურთხა უფალმან."
დაბადება,თავი ოცდამეშვიდე,27,28,"მოგცეს ღმერთმა ცვარი ცისა, სინოყივრე მიწისა, უხვი 
		ხორბალი და ღვინო!",28,"მოგეცინ შენ უფალმან ცუარისაგან ზეცისა და სიპოხისაგან 
		ქუეყანისა სიმრავლე იფქლისა და ღჳნისაჲ."
დაბადება,თავი ოცდამეშვიდე,28,29,"გემსახურონ ხალხები და თაყვანი გცენ ტომებმა! გახდი 
		ბატონი შენი ძმებისა და თაყვანი გცენ დედაშენის შვილებმა. წყეულიმც იყოს 
		მაწყევარი შენი, კურთხეულ იყოს მაკურთხეველი შენი!",29,"და გმონებდენ შენ თესლები და თაყუანის-გცემდენ შენ 
		მთავარნი, და იყავ შენ უფალ ძმისა შენისა და თაყუანის-გცემდენ შენ ძენი 
		მამისა შენისანი; მწყევარნი შენნი წყეულ იყვნენ და მაკურთხეველნი შენნი 
		კურთხეულ იყვნენ."
დაბადება,თავი ოცდამეშვიდე,29,30,"როგორც კი დაასრულა ისაკმა იაკობის კურთხევა და იაკობი 
		გავიდა ისაკისგან, ნადირობიდან დაბრუნდა ესავიც.",30,"და იყო, ვითარცა დასცხრა ისაკ კურთხევისაგან იაკობისა, 
		ძისა თჳსისა, გამოვიდა იაკობ პირისაგან ისაკისა, მამისა თჳსისა, და მოვიდა 
		ესავ, ძმაჲ მისი, ნადირობით."
დაბადება,თავი ოცდამეშვიდე,30,31,"მანაც მოამზადა კერძი, მიუტანა მამამისს და უთხრა: ადგეს 
		მამაჩემი და ჭამოს თავისი შვილის ნანადირევი, რომ მაკურთხოს მისმა სულმა.",31,"და უქმნა საჭმელი და შეართუა მამასა თჳსსა და ჰრქუა: 
		აღდეგინ მამაჲ ჩემი და ჭამენ ნადირებულისაგან ძისა თჳსისა, რათა მაკურთხოს 
		მე სულმან შენმან."
დაბადება,თავი ოცდამეშვიდე,31,32,"უთხრა ისაკმა, მამამისმა: ვინ ხარ? მიუგო: შენი შვილი 
		ვარ, შენი პირმშო ესავი ვარ.",32,"და ჰრქუა მას ისაკ, მამამან მისმან: ვინ ხარ შენ? ხოლო 
		მან ჰრქუა: მე ვარ ძე შენი პირმშო, ესავ."
დაბადება,თავი ოცდამეშვიდე,32,33,"შიშის ზარი დაეცა ისაკს და უთხრა: ის ვინღა იყო, 
		ნანადირევი რომ მომიტანა და შენს მოსვლამდე შევჭამე? ის ვაკურთხე და 
		კურთხეულიც ის იქნება.",33,"განცჳფრდა ისაკ განცჳფრებითა დიდითა და თქუა: ვინ იყო, 
		რომელმან მინადირა მე ნადირი, შემომართუა და ვსჭამე მისგან ვიდრე 
		მოსლვადმდე შენდა? და ვაკურთხე იგი და იყავნ კურთხეულ."
დაბადება,თავი ოცდამეშვიდე,33,34,"მამის სიტყვები რომ გაიგონა ესავმა, ხმამაღლა და მწარედ 
		ამოიგმინა; უთხრა მამას: მეც მაკურთხე, მამაჩემო!",34,"და ვითარცა ესმეს სიტყუანი ესე ესავს ისაკისგან, მამისა 
		თჳსისა, ღაღად-ყო მწარედ ჴმითა დიდითა ფრიად და თქუა: მაკურთხე მეცა, 
		მამაო."
დაბადება,თავი ოცდამეშვიდე,34,35,"უთხრა ისაკმა: მოტყუებით მოვიდა შენი ძმა და წაიღო საშენო 
		კურთხევა.",35,"ჰრქუა მას ისაკ: მოვიდა ძმაჲ შენი ზაკჳთ და მიიღო 
		კურთხევაჲ შენი."
დაბადება,თავი ოცდამეშვიდე,35,36,"თქვა ესავმა: ტყუილად კი არ ჰქვია იაკობი. ორჯერ 
		გამაცურა: ჯერ პირმშოება წამართვა, ახლა კურთხევა წაურთმევია. უთხრა: ნუთუ 
		არ შეგინახავს ჩემთვის კურთხევა?",36,"და თქუა ესავ: სამართლად ეწოდა სახელი მისი იაკობ, რამეთუ 
		განმწიხნა მე, ესერა, მეორედ. პირველად პირმშოებაჲ ჩემი მიმიღო და აწ ესერა 
		კურთხევაჲ ჩემი მიმიღო. და ჰრქუა ესავ მამასა თჳსსა ისაკს: არა დამიშთინე-ა 
		მე კურთხევაჲ, მამაო?"
დაბადება,თავი ოცდამეშვიდე,36,37,"მიუგო ისაკმა და უთხრა ესავს: აჰა, ბატონად დაგისვი იგი, 
		ძმები მორჩილებად მივეცი, ხორბლითა და ღვინით ავავსე. შენ რაღა გიყო, ჩემო 
		შვილო?",37,"მიუგო ისაკ და ჰრქუა ესავს: ვინათგან უფალ-ვყო იგი შენ 
		ზედა და ყოველნი ძმანი მისნი ვყუენ მისა მრწემ, იფქლითა და ღჳნითა 
		განვამტკიცე იგი, აწ შენ რაჲ გიყო, შჳლო?"
დაბადება,თავი ოცდამეშვიდე,37,38,"უთხრა ესავმა მამას: ნუთუ მხოლოდ ერთი კურთხევა გქონდა, 
		მამაჩემო? მეც მაკურთხე, მამაჩემო! ხმამაღლა ატირდა ესავი.",38,"ჰრქუა ესავ მამასა თჳსსა: ერთი ხოლო ნუ არსა კურთხევაჲ 
		შენი, მამაო? მაკურთხე მეცა. და ვითარცა შეწუხნა ისაკ, ღაღად-ყო ესავ ჴმითა 
		დიდითა და ტიროდა ფრიად."
დაბადება,თავი ოცდამეშვიდე,38,39,"მიუგო ისაკმა, მამამისმა, და უთხრა: აჰა, ნოყიერი მიწა 
		გექმნეს სამკვიდრებელად, ცის ცვარი - კურთხევად.",39,"მიუგო ისაკ და ჰრქუა: აჰა ესერა, სიპოხისაგან ქუეყანისა 
		იყოს მკჳდრობაჲ შენი და ცუარისაგან ცისა ზეგარდამო."
დაბადება,თავი ოცდამეშვიდე,39,40,"შენმა მახვილმა გარჩინოს, ძმას ემორჩილებოდე; დრო მოვა და 
		ქედიდან გადაიგდებ უღელს.",40,"და მახჳლითა შენითა სცხოვნდებოდი და ძმასა შენსა 
		ჰმონებდე. ხოლო იყოს ოდესმე, რაჟამს განიჴსნენ უღელი მისი ქედისაგან 
		შენისა."
დაბადება,თავი ოცდამეშვიდე,40,41,"გადაემტერა ესავი იაკობს კურთხევის გამო, რომლითაც 
		აკურთხა იგი მამამ; თქვა გულში ესავმა: დადგება მამაჩემზე გლოვის დრო და 
		მოვკლავ კიდეც იაკობს, ჩემს ძმას.",41,"და ძჳრსა უთქმიდა ესავ იაკობს კურთხევისა მისთჳს, რომლითა 
		აკურთხა იგი ისაკ, მამამან მისმან, და თქუა ესავ გონებასა თჳსსა მოიწინენ 
		დღენი სიკუდილისა მამისა ჩემისანი, და მოვკლა იაკობ, ძმაჲ ჩემი."
დაბადება,თავი ოცდამეშვიდე,41,42,"ემცნო რებეკას ესავის, თავისი უფროსი შვილის ნათქვამი; 
		მოაყვანინა იაკობი, თავისი უმცროსი შვილი და უთხრა: აჰა, მოსაკლავად 
		გემუქრება შენი ძმა ესავი.",42,"უთხრეს რებეკას სიტყუაჲ ესე ძისა თჳსისა უხუცესისა. და 
		მიავლინა და მოუწოდა ძესა თჳსსა უმრწემესსა და ჰრქუა მას: აჰა ესერა, ძმაჲ 
		შენი ესავ გითქუამს შენ მოკლვად."
დაბადება,თავი ოცდამეშვიდე,42,43,"ახლა მომისმინე, შვილო. ადექი და ჩემს ძმასთან, ლაბანთან, 
		გაიქეცი ხარანში.",43,"აწ უკუე, შჳლო, ისმინე ჴმისა ჩემისა: და აღდეგ და 
		წარივლტოდე შუამდინარედ ლაბანისა, ძმისა ჩემისა, ქარანად."
დაბადება,თავი ოცდამეშვიდე,43,44,"ერთხანს იცხოვრე მასთან, სანამ ბრაზი არ გაუვლის შენს 
		ძმას.",44,"და იყავ მის თანა რაოდენმე დღე, ვიდრემდე გარე მიიქცეს 
		გულისწყრომაჲ და რისხვაჲ ძმისა შენისა შენგან."
დაბადება,თავი ოცდამეშვიდე,44,45,"სანამ არ გაუვლის შენი მტრობა და დაავიწყდება, რაც უყავი, 
		შეგატყობინებ და წამოგიყვან იქიდან. რატომ დაგკარგოთ ორთავენი ერთ დღეს?",45,"და დავიწყდეს, რაჲ-იგი უყავ მას. და მოვავლინო და 
		მოგიწოდო შენ მიერ, ნუუკუე უშვილო ვიქმნე თქუენ ორთაგან-ვე ერთსა შინა 
		დღესა."
დაბადება,თავი ოცდამეშვიდე,45,46,"უთხრა რებეკამ ისაკს: შემაძულეს სიცოცხლე ხეთელმა 
		ქალებმა; თუ იაკობმაც ხეთელებისგან მოიყვანა ცოლი, ამ ქვეყნის ქალები რომ 
		არიან, ისეთი, რაღად მინდა მაშინ თავი ცოცხალი?",46,"და ჰრქუა რებეკა ისაკს: მომეწყინა ცხორებაჲ ჩემი 
		ასულთაგან ქეტის ძეთასა. უკუეთუ მოიყვანოს იაკობ ცოლი ასულთაგან ამის 
		ქუეყანისათა, რომლისა-ღა არს ცხორებაჲ ჩემი?"
დაბადება,თავი ოცდამერვე,0,1,"მოიხმო ისაკმა იაკობი, აკურთხა და დაარიგა: 
		ნუ მოიყვან ცოლს ქანაანელთაგან.",1,"მოუწოდა ისაკ იაკობს და აკურთხა იგი და ამცნო 
		მას და ჰრქუა: არა მოიყუანო ცოლი ასულთაგან ქანანისათა."
დაბადება,თავი ოცდამერვე,1,2,"ადექი და წადი ფადან-არამში, დედაშენის მამის, ბეთუელის, 
		სახლში და მოიყვანე იქიდან ცოლად დედაშენის ძმის, ლაბანის ასული.",2,"არამედ აღდეგ და წარვედ შუამდინარედ, სახიდ ბათოელისა, 
		დედის მამისა შენისა, და მიერ მოიყვანე თავისა შენისა ცოლი, ასულთაგან 
		ლაბანისათა, დედისძმისა შენისათა."
